target,ra,dec,region,alpha
TIC 220466843,238.42499999999995,-20.824444444444445,usco,43.480537151350845
HD 142666,239.16666666666663,-22.02777777777778,usco,28.38903025543606
HD 143006,239.65416666666664,-22.954444444444444,usco,4.7570023028292105
TIC 9735122,240.53333333333333,-22.96305555555556,usco,4.127376248447856
TIC 9739389,240.675,-21.640277777777776,usco,6.987541113063152
TIC 9851348,240.99166666666665,-19.703055555555554,usco,2.908737137559724
TIC 67277391,241.07916666666665,-24.51111111111112,usco,31.60951549074443
TIC 9853602,241.0916666666666,-21.50805555555556,usco,37.78945818093894
TIC 48795396,241.8625,-20.995555555555555,usco,12.131274662383113
TIC 48871317,242.0958333333333,-19.50027777777778,usco,4.375384477751612
TIC 48913941,242.25,-19.14361111111111,usco,6.17912305820705
TIC 48913936,242.25416666666663,-19.148055555555555,usco,31.79674690314196
TIC 49068768,242.5208333333333,-21.542222222222225,usco,1.7804308098013468
HD 145718,243.29999999999995,-22.48527777777777,usco,18.494056196203726
TIC 98093863,244.1375,-25.36416666666667,usco,0.4346034187345784
TIC 50098878,245.425,-23.22888888888889,oph,17.12430630795129
V935 Sco,245.57916666666665,-23.363611111111112,oph,6.548514585796104
TIC 202875079,245.60416666666663,-23.49861111111112,oph,14.505534365552272
TIC 392395561,246.2583333333333,-24.9925,oph,7.169269150528963
V2058 Oph,246.4833333333333,-24.346944444444443,oph,1.351707184019764
ISO-Oph 20,246.57083333333333,-24.33944444444444,oph,14.553857385577935
ISO-Oph 24,246.57916666666665,-24.47222222222222,oph,29.9899616839391
ISO-Oph 37,246.6,-24.41361111111111,oph,40.82136984289798
ISO-Oph 38,246.6,-24.72055555555556,oph,20.155264525607087
ISO-Oph 40,246.6,-24.27055555555556,oph,25.598118188344095
ISO-Oph 62,246.67916666666665,-24.341666666666665,oph,30.307018294095357
ISO-Oph 67,246.6875,-24.385555555555555,oph,28.274323441501892
ISO-Oph 72,246.70416666666665,-24.640555555555554,oph,19.279196880191073
TIC 175596831,246.7458333333333,-24.760277777777777,oph,6.588817430126208
ISO-Oph 102,246.7791666666666,-24.696944444444444,oph,13.06449516642893
ISO-Oph 155,246.8875,-24.68777777777778,oph,41.5987744160295
TIC 175744072,246.9125,-23.971944444444443,oph,0.40703629058609975
ISO-Oph 166,246.9125,-24.654444444444444,oph,24.393797698618627
V2062 Oph,247.8875,-24.460555555555555,oph,0.23088736223349945
V2508 Oph,252.19166666666663,-14.276666666666667,oph,33.172208593124594
