ra,dec,region
238.42499999999995,-20.824444444444445,usco
239.16666666666663,-22.02777777777778,usco
239.65416666666664,-22.954444444444444,usco
240.53333333333333,-22.96305555555556,usco
240.675,-21.640277777777776,usco
240.99166666666665,-19.703055555555554,usco
241.07916666666665,-24.51111111111112,usco
241.0916666666666,-21.50805555555556,usco
241.8625,-20.995555555555555,usco
242.0958333333333,-19.50027777777778,usco
242.25,-19.14361111111111,usco
242.25416666666663,-19.148055555555555,usco
242.5208333333333,-21.542222222222225,usco
243.29999999999995,-22.48527777777777,usco
244.1375,-25.36416666666667,usco
245.425,-23.22888888888889,oph
245.57916666666665,-23.363611111111112,oph
245.60416666666663,-23.49861111111112,oph
246.2583333333333,-24.9925,oph
246.4833333333333,-24.346944444444443,oph
246.57083333333333,-24.33944444444444,oph
246.57916666666665,-24.47222222222222,oph
246.6,-24.41361111111111,oph
246.6,-24.72055555555556,oph
246.6,-24.27055555555556,oph
246.67916666666665,-24.341666666666665,oph
246.6875,-24.385555555555555,oph
246.70416666666665,-24.640555555555554,oph
246.7458333333333,-24.760277777777777,oph
246.7791666666666,-24.696944444444444,oph
246.8875,-24.68777777777778,oph
246.9125,-23.971944444444443,oph
246.9125,-24.654444444444444,oph
247.8875,-24.460555555555555,oph
252.19166666666663,-14.276666666666667,oph
